datetime,amedas,ek,humid,solar,wind,azimuth,altitude
2015-04-01 00:00:00,13.010,7.900,89.200,0.000,0.000,0.094,-0.872
2015-04-01 01:00:00,11.900,9.000,90.400,0.000,0.000,0.477,-0.811
2015-04-01 02:00:00,11.150,9.200,92.800,0.000,0.000,0.790,-0.684
2015-04-01 03:00:00,12.780,11.600,83.500,0.000,0.000,1.033,-0.516
2015-04-01 04:00:00,11.650,8.200,89.300,0.000,0.000,1.226,-0.324
2015-04-01 05:00:00,11.680,10.400,85.900,0.000,0.000,1.392,-0.117
2015-04-01 06:00:00,12.160,12.000,85.100,11.100,0.000,1.546,0.096
2015-04-01 07:00:00,12.900,12.600,84.700,41.800,0.000,1.701,0.306
2015-04-01 08:00:00,13.680,15.100,78.400,174.700,0.000,1.874,0.514
2015-04-01 09:00:00,14.640,15.300,75.600,231.100,0.000,2.087,0.708
2015-04-01 10:00:00,15.630,16.700,69.700,200.400,0.000,2.373,0.877
2015-04-01 11:00:00,17.340,18.500,62.600,313.700,0.000,2.770,0.993
2015-04-01 12:00:00,17.890,19.800,56.900,369.100,0.000,3.259,1.021
2015-04-01 13:00:00,18.510,20.000,58.200,367.100,0.000,3.716,0.948
2015-04-01 14:00:00,18.470,18.700,60.300,174.700,0.000,4.057,0.803
2015-04-01 15:00:00,19.870,21.100,57.100,463.300,0.000,4.304,0.620
2015-04-01 16:00:00,19.650,20.500,56.600,164.700,0.000,4.496,0.418
2015-04-01 17:00:00,16.510,15.200,69.200,11.600,0.000,4.659,0.209
2015-04-01 18:00:00,14.400,13.100,72.500,0.000,0.000,4.812,0.004
2015-04-01 19:00:00,13.100,12.200,75.300,0.000,0.000,4.970,-0.213
2015-04-01 20:00:00,12.300,10.800,84.600,0.000,0.000,5.147,-0.413
2015-04-01 21:00:00,11.520,10.500,91.100,0.000,0.000,5.361,-0.595
2015-04-01 22:00:00,11.550,10.600,92.500,0.000,0.000,5.635,-0.745
2015-04-01 23:00:00,10.910,10.100,92.600,0.000,0.000,5.981,-0.843
2015-04-02 00:00:00,10.370,9.100,93.100,0.000,0.000,0.096,-0.865
2015-04-02 01:00:00,9.690,8.200,93.600,0.000,0.000,0.475,-0.804
2015-04-02 02:00:00,9.220,7.900,93.600,0.000,0.000,0.786,-0.678
2015-04-02 03:00:00,8.240,7.300,92.300,0.000,0.000,1.028,-0.510
2015-04-02 04:00:00,8.050,6.700,92.500,0.000,0.000,1.222,-0.318
2015-04-02 05:00:00,7.190,5.700,92.900,0.000,0.000,1.387,-0.111
2015-04-02 06:00:00,8.030,7.800,89.200,75.000,0.000,1.541,0.101
2015-04-02 07:00:00,9.870,11.200,75.900,190.800,0.000,1.696,0.311
2015-04-02 08:00:00,10.910,14.700,61.900,506.100,0.000,1.869,0.519
2015-04-02 09:00:00,13.630,16.900,53.300,315.700,0.000,2.082,0.714
2015-04-02 10:00:00,14.020,20.100,45.800,866.600,0.000,2.369,0.883
